AliHunterIcons,4.0
janegruppalli,4.0
im_darey,4.0
prashantDocean,4.0
miltonkummirai,4.0
gviltymelody,3.0
mexipinotee,3.0
pavi_mayweather,3.0
fizadhanisa,3.0
feuliw,3.0
oktaarie,3.0
daveshreeves,3.0
Yellow_Daylight,3.0
HannahAlOthman,3.0
HeryKane18,3.0
bibihajar_,3.0
SimpleTangri23,3.0
Jazzyone89,3.0
caarlosmigueel,3.0
jessehawken,3.0
Khan08Rafay,3.0
ThisIsKarenju,3.0
simonstacpoole,3.0
ashrafmazwar,3.0
iamsrk_Anshuman,3.0
taylorswift0409,3.0
h_khms,3.0
magistereal,2.0
AmitkumarSrkian,2.0
ragava_shan,2.0
ITDTheBand,2.0
_JEtLiF3,2.0
Okorochristia18,2.0
RyanRyanBenson,2.0
N_Oldskool,2.0
Sergi_Trance,2.0
fallanbrown_x,2.0
chariss_walker,2.0
laiho_apollo,2.0
y0Epxc,2.0
Cleansheet,2.0
Alakhnagri,2.0
ElFutboI,2.0
tonytonerro99,2.0
Eric_Leroux22,2.0
loveskyexo,2.0
GozalezRafae,2.0
ck_gurl,2.0
ApexSteph,2.0
Jennasm66663888,1.5
cherokeewayne,1.5
iamRFDO,1.0
kimutaiabraham5,1.0
SofanyaSalenke,1.0
Sinedd1234,1.0
Sekgola26,1.0
AntooLgs,1.0
jrchukwu,1.0
Raihannn32,1.0
RaheemSZN,1.0
R0drigoFilipe,1.0
waybongkeng,1.0
MrdAlin23,1.0
atiqurmotion,1.0
ASIFBEIG22,1.0
Azar7_,1.0
alfio2k,1.0
Boomboy53,1.0
drosabry,1.0
nosoysool,1.0
tiagoprra,1.0
billyluphpb,1.0
bhuepesh,1.0
yboateng2710,1.0
_John_Mc_Clane,1.0
VuaKqI3NRDWdCJx,1.0
merchanbigotes,0.5
JustGT_,0.3333333333333333
IAmMooree,0.3333333333333333
Romario6988,0.0
titentoo,0.0
SmallerCitiesU,0.0
Christmaszinga,0.0
Blaugrana954,0.0
MohhGanduje__,-0.5
PetrusNation,-0.5
ohiiiiiiiii,-0.5
charan1,-0.5
baj5252,-1.0
winner_alex,-1.0
victorhoracio22,-1.0
vanaerdenkiana,-1.0
sou_a_kika,-1.0
sjv_simon,-1.0
silviarienzo,-1.0
mari4cielo,-1.0
marceloviiana,-1.0
madalenapavoces,-1.0
love8ter,-1.0
joaopalmasbr,-1.0
joaomsoaresm,-1.0
jCruyffinho_,-1.0
itsgabioliveira,-1.0
horranaa_,-1.0
higorlalves,-1.0
fkmasterpacheco,-1.0
fefiuu,-1.0
falconspring,-1.0
dhossack7,-1.0
dantrum17,-1.0
corytenga,-1.0
caolf50,-1.0
cabeyoluana,-1.0
brenrosso_,-1.0
bia_cairess,-1.0
barbaraslvr,-1.0
_gabibbastos,-1.0
__skhalo,-1.0
Viniciusbfr93,-1.0
VenuraSilva,-1.0
Veldraulo,-1.0
TavaresAniinha1,-1.0
Solam_Zwakala,-1.0
SamIsmail1995,-1.0
SabrinaSilves17,-1.0
PomeloVodevil,-1.0
PabloCouse,-1.0
Mavien2013,-1.0
Mathias_Colman,-1.0
Lyon_Turtle,-1.0
JNuwamanya,-1.0
Hemy_Lopes,-1.0
GuilhermeM157,-1.0
EastMashariki,-1.0
BruRivelo,-1.0
BraderZBrad,-1.0
BarbzHoe,-1.0
67Abhinav,-1.0
HenryBalsas,-1.5
fmsilvestre,-1.5
Paper_Airplanez,-2.0
jokraniareflex1,-2.0
jxhalloy,-2.0
comradesipho,-2.0
GereBenevento,-2.0
cricketurducom,-2.0
Craig14_MUFC,-2.0
diegobluebeat,-2.0
diegoruscitti,-2.0
Bruno_gimenez12,-2.0
lulilimia14,-2.0
obesebaba,-2.0
gabrii_gabri,-2.0
williamvillacis,-2.0
MandNeos,-2.0
MrTomMcDermott,-2.0
Juanii33,-2.0
hiindia,-2.0
Peter_Vernelen,-2.6666666666666665
dbofbb,-3.0
Tyndall_Nic,-4.0
IhabEnnabli,-4.0
MrWaReNdU604,-4.0
Niicky_babey,-4.0
kofi_biney1,-4.0
Oluwapelumi305,-4.0
